Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,428.926488,461.4150941,503.3187272,503.5707727,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1266.546338,1291.542413,1418.177623,1407.813143,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4523.091281,5303.309171,5495.428925,4957.458222,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,7670.116404,8510.868408,9762.389302,9396.981967,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,777.1475955,911.4442665,1038.651647,1071.050761,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,46007.85292,48675.22234,53044.53244,52331.31673,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,40105.61339,42849.42632,42949.93058,42084.35337,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,2107.572722,2159.157868,2020.55193,1912.903745,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,498.1041639,517.9750301,572.4271543,553.8950504,..
